№,Секунда,Микросекунда
1,10,430433
2,10,440596
3,10,450686
4,10,460797
5,10,470914
6,10,481019
7,10,491110
8,10,501215
9,10,511331
10,10,521432
11,10,531519
12,10,541665
13,10,551752
14,10,561865
15,10,572056
16,10,582267
17,10,592366
18,10,602548
19,10,612662
20,10,622757
21,10,632878
22,10,642997
23,10,653092
24,10,663205
25,10,673329
26,10,683451
27,10,693640
28,10,703860
29,10,714083
30,10,724281
31,10,734478
32,10,744668
33,10,754775
34,10,765007
35,10,775145
36,10,785262
37,10,795371
38,10,805467
39,10,815563
40,10,825653
41,10,835751
42,10,845855
43,10,855975
44,10,866097
45,10,876207
46,10,886301
47,10,896422
48,10,906520
49,10,916739
50,10,926854
51,10,936956
52,10,947077
53,10,957287
54,10,967405
55,10,977591
56,10,987673
57,10,997893
58,11,8123
59,11,18381
60,11,28625
61,11,38749
62,11,48990
63,11,59113
64,11,69352
65,11,79555
66,11,89681
67,11,99918
68,11,110103
69,11,120261
70,11,130352
71,11,140539
72,11,150648
73,11,160755
74,11,170858
75,11,180939
76,11,191014
77,11,201127
78,11,211235
79,11,221350
80,11,231443
81,11,241549
82,11,251733
83,11,261841
84,11,272043
85,11,282274
86,11,292372
87,11,302525
88,11,312725
89,11,322836
90,11,333017
91,11,343138
92,11,353392
93,11,363609
94,11,373798
95,11,383977
96,11,394087
97,11,404201
98,11,414292
99,11,424397
100,11,434496
101,11,444595
102,11,454699
103,11,464782
104,11,474898
105,11,485017
106,11,495140
107,11,505231
108,11,515452
109,11,525574
110,11,535693
111,11,545929
112,11,556064
113,11,566250
114,11,576470
115,11,586566
116,11,596678
117,11,606787
118,11,616899
119,11,627000
120,11,637094
121,11,647202
122,11,657393
123,11,667501
124,11,677613
125,11,687806
126,11,697905
127,11,708014
128,11,718112
129,11,728227
130,11,738328
131,11,748515
132,11,758629
133,11,768743
134,11,778855
135,11,789041
136,11,799153
137,11,809259
138,11,819365
139,11,829566
140,11,839756
141,11,849849
142,11,860028
143,11,870152
144,11,880335
145,11,890429
146,11,900623
147,11,910747
148,11,920852
149,11,930983
150,11,941183
151,11,951399
152,11,961590
153,11,971697
154,11,981917
155,11,992111
156,12,2356
157,12,12558
158,12,22659
159,12,32873
160,12,43000
161,12,53237
162,12,63360
163,12,73461
164,12,83693
165,12,93809
166,12,104010
167,12,114223
168,12,124330
169,12,134432
170,12,144549
171,12,154656
172,12,164771
173,12,174886
174,12,185087
175,12,195217
176,12,205306
177,12,215412
178,12,225513
179,12,235646
180,12,245843
181,12,255953
182,12,266131
183,12,276326
184,12,286501
185,12,296688
186,12,306795
187,12,316987
188,12,327112
189,12,337289
190,12,347398
191,12,357546
192,12,367766
193,12,377967
194,12,388172
195,12,398332
196,12,408447
197,12,418536
198,12,428682
199,12,438780
200,12,448974
201,12,459074
202,12,469189
203,12,479307
204,12,489405
205,12,499521
206,12,509618
207,12,519796
208,12,530004
209,12,540101
210,12,550223
211,12,560456
212,12,570695
213,12,580934
214,12,591056
215,12,601299
216,12,611418
217,12,621651
218,12,631883
219,12,642091
220,12,652301
221,12,662403
222,12,672643
223,12,682759
224,12,692956
225,12,703194
226,12,713641
227,12,723836
228,12,734073
229,12,744315
230,12,754571
231,12,764825
232,12,774944
233,12,785180
234,12,795370
235,12,805606
236,12,815837
237,12,826072
238,12,836316
239,12,846564
240,12,856804
241,12,867022
242,12,877258
243,12,887380
244,12,897620
245,12,907861
246,12,918102
247,12,928326
248,12,938423
249,12,948662
250,12,958774
251,12,969011
252,12,979219
253,12,989458
254,12,999708
255,13,9830
256,13,20037
257,13,30296
258,13,40532
259,13,50662
260,13,61140
261,13,71934
262,13,82056
263,13,92282
264,13,102519
265,13,112761
266,13,123003
267,13,133118
268,13,143348
269,13,153603
270,13,163730
271,13,173966
272,13,184171
273,13,194414
274,13,204652
275,13,214770
276,13,224961
277,13,235092
278,13,245344
279,13,255551
280,13,265773
281,13,275978
282,13,286233
283,13,296476
284,13,306584
285,13,316824
286,13,327070
287,13,337308
288,13,347559
289,13,357811
290,13,368058
291,13,378303
292,13,388539
293,13,398782
294,13,408962
295,13,419206
296,13,429462
297,13,439702
298,13,449944
299,13,460152
300,13,470366
